"Time","Room.mean"
2025-03-12 14:30:00,12.7 %H
2025-03-12 15:00:00,12.7 %H
2025-03-12 15:30:00,12.7 %H
2025-03-12 16:00:00,12.9 %H
2025-03-12 16:30:00,12.9 %H
2025-03-12 17:00:00,13.1 %H
2025-03-12 17:30:00,13.1 %H
2025-03-12 18:00:00,13.3 %H
2025-03-12 18:30:00,13.3 %H
2025-03-12 19:00:00,13.3 %H
2025-03-12 19:30:00,12.9 %H
2025-03-12 20:00:00,13.0 %H
2025-03-12 20:30:00,12.8 %H
2025-03-12 21:00:00,12.6 %H
2025-03-12 21:30:00,12.5 %H
2025-03-12 22:00:00,12.4 %H
2025-03-12 22:30:00,12.4 %H
2025-03-12 23:00:00,14.1 %H
2025-03-12 23:30:00,15.4 %H
2025-03-13 00:00:00,15.7 %H
2025-03-13 00:30:00,15.8 %H
2025-03-13 01:00:00,15.6 %H
2025-03-13 01:30:00,15.4 %H
2025-03-13 02:00:00,14.5 %H
2025-03-13 02:30:00,14.2 %H
2025-03-13 03:00:00,13.9 %H
2025-03-13 03:30:00,13.7 %H
2025-03-13 04:00:00,13.9 %H
2025-03-13 04:30:00,14.0 %H
2025-03-13 05:00:00,13.7 %H
2025-03-13 05:30:00,13.8 %H
2025-03-13 06:00:00,14.0 %H
2025-03-13 06:30:00,14.4 %H
2025-03-13 07:00:00,14.7 %H
2025-03-13 07:30:00,14.2 %H
2025-03-13 08:00:00,14.1 %H
2025-03-13 08:30:00,13.8 %H
2025-03-13 09:00:00,13.1 %H
2025-03-13 09:30:00,12.9 %H
2025-03-13 10:00:00,12.7 %H
2025-03-13 10:30:00,12.8 %H
2025-03-13 11:00:00,13.1 %H
2025-03-13 11:30:00,12.9 %H
2025-03-13 12:00:00,12.7 %H
2025-03-13 12:30:00,13.2 %H
